Year/Month/Date,Hour,Discharge
01/01/2017,0,4.87
01/01/2017,1,4.87
01/01/2017,2,4.87
01/01/2017,3,4.87
01/01/2017,4,4.87
01/01/2017,5,4.87
01/01/2017,6,4.87
01/01/2017,7,4.87
01/01/2017,8,4.87
01/01/2017,9,4.87
01/01/2017,10,4.87
01/01/2017,11,4.87
01/01/2017,12,4.87
01/01/2017,13,4.87
01/01/2017,14,4.87
01/01/2017,15,4.87
01/01/2017,16,4.87
01/01/2017,17,4.87
01/01/2017,18,4.87
01/01/2017,19,4.87
01/01/2017,20,4.87
01/01/2017,21,4.87
01/01/2017,22,4.87
01/01/2017,23,4.87
02/01/2017,0,4.87
02/01/2017,1,4.87
02/01/2017,2,4.87
02/01/2017,3,4.87
02/01/2017,4,4.87
02/01/2017,5,4.87
02/01/2017,6,4.87
02/01/2017,7,4.87
02/01/2017,8,4.87
02/01/2017,9,4.87
02/01/2017,10,4.87
02/01/2017,11,4.87
02/01/2017,12,4.87
02/01/2017,13,4.87
02/01/2017,14,4.87
02/01/2017,15,4.49
02/01/2017,16,4.87
02/01/2017,17,4.87
02/01/2017,18,4.87
02/01/2017,19,4.87
02/01/2017,20,4.87
02/01/2017,21,4.87
02/01/2017,22,4.87
02/01/2017,23,4.87
03/01/2017,0,4.87
03/01/2017,1,4.87
03/01/2017,2,4.87
03/01/2017,3,4.49
03/01/2017,4,4.87
03/01/2017,5,4.87
03/01/2017,6,4.49
03/01/2017,7,4.49
03/01/2017,8,4.49
03/01/2017,9,4.49
03/01/2017,10,4.49
03/01/2017,11,4.49
03/01/2017,12,4.49
03/01/2017,13,4.49
03/01/2017,14,4.49
03/01/2017,15,4.49
03/01/2017,16,4.49
03/01/2017,17,4.49
03/01/2017,18,4.49
03/01/2017,19,4.49
03/01/2017,20,4.49
03/01/2017,21,4.49
03/01/2017,22,4.49
03/01/2017,23,4.49
04/01/2017,0,4.49
04/01/2017,1,4.49
04/01/2017,2,4.49
04/01/2017,3,4.49
04/01/2017,4,4.49
04/01/2017,5,4.49
04/01/2017,6,4.49
04/01/2017,7,4.49
04/01/2017,8,4.49
04/01/2017,9,4.49
04/01/2017,10,4.49
04/01/2017,11,4.49
04/01/2017,12,4.49
04/01/2017,13,4.49
04/01/2017,14,4.49
04/01/2017,15,4.49
04/01/2017,16,4.49
04/01/2017,17,4.49
04/01/2017,18,4.49
04/01/2017,19,4.49
04/01/2017,20,4.49
04/01/2017,21,4.49
04/01/2017,22,4.49
04/01/2017,23,4.49
05/01/2017,0,4.49
05/01/2017,1,4.49
05/01/2017,2,4.49
05/01/2017,3,4.49
05/01/2017,4,4.49
05/01/2017,5,4.49
05/01/2017,6,4.49
05/01/2017,7,4.49
05/01/2017,8,4.49
05/01/2017,9,4.49
05/01/2017,10,4.49
05/01/2017,11,4.49
05/01/2017,12,4.49
05/01/2017,13,4.49
05/01/2017,14,4.49
05/01/2017,15,4.49
05/01/2017,16,4.49
05/01/2017,17,4.49
05/01/2017,18,4.49
05/01/2017,19,4.49
05/01/2017,20,4.49
05/01/2017,21,4.49
05/01/2017,22,4.49
05/01/2017,23,4.49
06/01/2017,0,4.49
06/01/2017,1,4.49
06/01/2017,2,4.49
06/01/2017,3,4.49
06/01/2017,4,4.49
06/01/2017,5,4.49
06/01/2017,6,4.49
06/01/2017,7,4.49
06/01/2017,8,4.15
06/01/2017,9,4.49
06/01/2017,10,4.15
06/01/2017,11,4.49
06/01/2017,12,4.15
06/01/2017,13,4.15
06/01/2017,14,4.15
06/01/2017,15,4.49
06/01/2017,16,4.49
06/01/2017,17,4.15
06/01/2017,18,4.15
06/01/2017,19,4.15
06/01/2017,20,4.15
06/01/2017,21,4.15
06/01/2017,22,4.15
06/01/2017,23,4.15
07/01/2017,0,4.15
07/01/2017,1,4.15
07/01/2017,2,4.15
07/01/2017,3,4.15
07/01/2017,4,4.15
07/01/2017,5,4.15
07/01/2017,6,4.15
07/01/2017,7,4.15
07/01/2017,8,4.15
07/01/2017,9,4.15
07/01/2017,10,4.15
07/01/2017,11,4.15
07/01/2017,12,4.15
07/01/2017,13,4.15
07/01/2017,14,4.15
07/01/2017,15,4.15
07/01/2017,16,4.15
07/01/2017,17,4.15
07/01/2017,18,4.15
07/01/2017,19,4.15
07/01/2017,20,4.15
07/01/2017,21,4.15
07/01/2017,22,4.15
07/01/2017,23,4.15
08/01/2017,0,4.15
08/01/2017,1,4.15
08/01/2017,2,4.15
08/01/2017,3,4.15
08/01/2017,4,4.15
08/01/2017,5,4.15
08/01/2017,6,4.15
08/01/2017,7,4.15
08/01/2017,8,4.15
08/01/2017,9,4.15
08/01/2017,10,4.15
08/01/2017,11,4.15
08/01/2017,12,4.15
08/01/2017,13,4.15
08/01/2017,14,4.15
08/01/2017,15,4.15
08/01/2017,16,4.15
08/01/2017,17,4.15
08/01/2017,18,4.15
08/01/2017,19,4.15
08/01/2017,20,4.15
08/01/2017,21,4.15
08/01/2017,22,4.15
08/01/2017,23,4.15
09/01/2017,0,4.15
09/01/2017,1,4.15
09/01/2017,2,4.15
09/01/2017,3,4.15
09/01/2017,4,4.15
09/01/2017,5,4.15
09/01/2017,6,4.15
09/01/2017,7,4.15
09/01/2017,8,4.15
09/01/2017,9,4.15
09/01/2017,10,4.15
09/01/2017,11,4.15
09/01/2017,12,4.15
09/01/2017,13,4.15
09/01/2017,14,4.15
09/01/2017,15,4.15
09/01/2017,16,4.15
09/01/2017,17,4.15
09/01/2017,18,4.15
09/01/2017,19,4.15
09/01/2017,20,4.15
09/01/2017,21,4.15
09/01/2017,22,4.15
09/01/2017,23,4.15
10/01/2017,0,4.15
10/01/2017,1,4.15
10/01/2017,2,4.15
10/01/2017,3,4.15
10/01/2017,4,4.15
10/01/2017,5,4.15
10/01/2017,6,4.15
10/01/2017,7,4.15
10/01/2017,8,4.15
10/01/2017,9,4.15
10/01/2017,10,4.15
10/01/2017,11,4.15
10/01/2017,12,4.15
10/01/2017,13,4.15
10/01/2017,14,4.15
10/01/2017,15,4.15
10/01/2017,16,4.15
10/01/2017,17,4.15
10/01/2017,18,4.15
10/01/2017,19,4.15
10/01/2017,20,4.15
10/01/2017,21,4.15
10/01/2017,22,4.15
10/01/2017,23,4.15
11/01/2017,0,4.15
11/01/2017,1,4.15
11/01/2017,2,4.15
11/01/2017,3,4.15
11/01/2017,4,4.15
11/01/2017,5,4.15
11/01/2017,6,4.15
11/01/2017,7,4.15
11/01/2017,8,4.15
11/01/2017,9,4.15
11/01/2017,10,4.15
11/01/2017,11,4.15
11/01/2017,12,4.15
11/01/2017,13,4.15
11/01/2017,14,4.15
11/01/2017,15,4.15
11/01/2017,16,4.15
11/01/2017,17,4.15
11/01/2017,18,4.15
11/01/2017,19,4.15
11/01/2017,20,4.15
11/01/2017,21,4.15
11/01/2017,22,4.15
11/01/2017,23,4.15
12/01/2017,0,4.15
12/01/2017,1,4.15
12/01/2017,2,4.15
12/01/2017,3,4.15
12/01/2017,4,4.15
12/01/2017,5,4.15
12/01/2017,6,4.15
12/01/2017,7,4.15
12/01/2017,8,4.15
12/01/2017,9,4.15
12/01/2017,10,4.15
12/01/2017,11,4.15
12/01/2017,12,4.15
12/01/2017,13,4.15
12/01/2017,14,4.15
12/01/2017,15,4.15
12/01/2017,16,4.15
12/01/2017,17,4.15
12/01/2017,18,4.15
12/01/2017,19,4.15
12/01/2017,20,4.15
12/01/2017,21,4.15
12/01/2017,22,4.15
12/01/2017,23,4.15
13/01/2017,0,4.15
13/01/2017,1,4.15
13/01/2017,2,4.15
13/01/2017,3,4.15
13/01/2017,4,4.15
13/01/2017,5,4.15
13/01/2017,6,4.15
13/01/2017,7,4.15
13/01/2017,8,4.15
13/01/2017,9,4.15
13/01/2017,10,4.15
13/01/2017,11,4.15
13/01/2017,12,4.15
13/01/2017,13,4.15
13/01/2017,14,4.15
13/01/2017,15,4.15
13/01/2017,16,4.15
13/01/2017,17,4.15
13/01/2017,18,4.15
13/01/2017,19,4.15
13/01/2017,20,4.15
13/01/2017,21,4.15
13/01/2017,22,4.15
13/01/2017,23,4.15
14/01/2017,0,4.15
14/01/2017,1,4.15
14/01/2017,2,4.15
14/01/2017,3,4.15
