ID,Site,Date,Season,Replicate,Regime,Intermittence,Mean_water_temp,Min_water_temp,Max_water_temp
Azusa GW1_42831_B1,Azusa GW1,06/04/2017,Spring,B1,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42831_B2,Azusa GW1,06/04/2017,Spring,B2,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42831_B3,Azusa GW1,06/04/2017,Spring,B3,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42831_B4,Azusa GW1,06/04/2017,Spring,B4,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42831_B5,Azusa GW1,06/04/2017,Spring,B5,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42918_B1,Azusa GW1,02/07/2017,Summer,B1,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42918_B2,Azusa GW1,02/07/2017,Summer,B2,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42918_B3,Azusa GW1,02/07/2017,Summer,B3,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42918_B4,Azusa GW1,02/07/2017,Summer,B4,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42918_B5,Azusa GW1,02/07/2017,Summer,B5,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42972_B1,Azusa GW1,25/08/2017,Summer,B1,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42972_B2,Azusa GW1,25/08/2017,Summer,B2,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42972_B3,Azusa GW1,25/08/2017,Summer,B3,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42972_B4,Azusa GW1,25/08/2017,Summer,B4,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_42972_B5,Azusa GW1,25/08/2017,Summer,B5,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_43027_B1,Azusa GW1,19/10/2017,Autumn,B1,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_43027_B2,Azusa GW1,19/10/2017,Autumn,B2,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_43027_B3,Azusa GW1,19/10/2017,Autumn,B3,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_43027_B4,Azusa GW1,19/10/2017,Autumn,B4,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW1_43027_B5,Azusa GW1,19/10/2017,Autumn,B5,Groundwater,Permanent,6.51,6.35,6.81
Azusa GW2_42831_B1,Azusa GW2,06/04/2017,Spring,B1,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42831_B2,Azusa GW2,06/04/2017,Spring,B2,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42831_B3,Azusa GW2,06/04/2017,Spring,B3,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42831_B4,Azusa GW2,06/04/2017,Spring,B4,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42831_B5,Azusa GW2,06/04/2017,Spring,B5,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42932_B1,Azusa GW2,16/07/2017,Summer,B1,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42932_B2,Azusa GW2,16/07/2017,Summer,B2,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42932_B3,Azusa GW2,16/07/2017,Summer,B3,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42932_B4,Azusa GW2,16/07/2017,Summer,B4,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42932_B5,Azusa GW2,16/07/2017,Summer,B5,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42972_B1,Azusa GW2,25/08/2017,Summer,B1,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42972_B2,Azusa GW2,25/08/2017,Summer,B2,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42972_B3,Azusa GW2,25/08/2017,Summer,B3,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42972_B4,Azusa GW2,25/08/2017,Summer,B4,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_42972_B5,Azusa GW2,25/08/2017,Summer,B5,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_43027_B1,Azusa GW2,19/10/2017,Autumn,B1,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_43027_B2,Azusa GW2,19/10/2017,Autumn,B2,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_43027_B3,Azusa GW2,19/10/2017,Autumn,B3,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_43027_B4,Azusa GW2,19/10/2017,Autumn,B4,Groundwater,Permanent,5.62,5.13,5.9
Azusa GW2_43027_B5,Azusa GW2,19/10/2017,Autumn,B5,Groundwater,Permanent,5.62,5.13,5.9
Tokusawa GW_42879_B1,Tokusawa GW,24/05/2017,Spring,B1,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42879_B2,Tokusawa GW,24/05/2017,Spring,B2,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42879_B3,Tokusawa GW,24/05/2017,Spring,B3,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42879_B4,Tokusawa GW,24/05/2017,Spring,B4,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42879_B5,Tokusawa GW,24/05/2017,Spring,B5,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42932_B1,Tokusawa GW,16/07/2017,Summer,B1,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42932_B2,Tokusawa GW,16/07/2017,Summer,B2,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42932_B3,Tokusawa GW,16/07/2017,Summer,B3,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42932_B4,Tokusawa GW,16/07/2017,Summer,B4,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42932_B5,Tokusawa GW,16/07/2017,Summer,B5,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42972_B1,Tokusawa GW,25/08/2017,Summer,B1,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42972_B2,Tokusawa GW,25/08/2017,Summer,B2,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42972_B3,Tokusawa GW,25/08/2017,Summer,B3,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42972_B4,Tokusawa GW,25/08/2017,Summer,B4,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_42972_B5,Tokusawa GW,25/08/2017,Summer,B5,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_43026_B1,Tokusawa GW,18/10/2017,Autumn,B1,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_43026_B2,Tokusawa GW,18/10/2017,Autumn,B2,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_43026_B3,Tokusawa GW,18/10/2017,Autumn,B3,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_43026_B4,Tokusawa GW,18/10/2017,Autumn,B4,Groundwater,Permanent,6.49,6.14,6.97
Tokusawa GW_43026_B5,Tokusawa GW,18/10/2017,Autumn,B5,Groundwater,Permanent,6.49,6.14,6.97
Dakesawa SM_42918_B1,Dakesawa SM,02/07/2017,Summer,B1,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42918_B2,Dakesawa SM,02/07/2017,Summer,B2,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42918_B3,Dakesawa SM,02/07/2017,Summer,B3,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42918_B4,Dakesawa SM,02/07/2017,Summer,B4,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42918_B5,Dakesawa SM,02/07/2017,Summer,B5,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42948_B1,Dakesawa SM,01/08/2017,Summer,B1,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42948_B2,Dakesawa SM,01/08/2017,Summer,B2,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42948_B3,Dakesawa SM,01/08/2017,Summer,B3,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42948_B4,Dakesawa SM,01/08/2017,Summer,B4,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_42948_B5,Dakesawa SM,01/08/2017,Summer,B5,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_43027_B1,Dakesawa SM,19/10/2017,Autumn,B1,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_43027_B2,Dakesawa SM,19/10/2017,Autumn,B2,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_43027_B3,Dakesawa SM,19/10/2017,Autumn,B3,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_43027_B4,Dakesawa SM,19/10/2017,Autumn,B4,Snowmelt,Permanent,7.7,5.2,10.4
Dakesawa SM_43027_B5,Dakesawa SM,19/10/2017,Autumn,B5,Snowmelt,Permanent,7.7,5.2,10.4
Shirasawa SM_42845_B1,Shirasawa SM,20/04/2017,Spring,B1,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42845_B2,Shirasawa SM,20/04/2017,Spring,B2,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42845_B3,Shirasawa SM,20/04/2017,Spring,B3,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42845_B4,Shirasawa SM,20/04/2017,Spring,B4,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42845_B5,Shirasawa SM,20/04/2017,Spring,B5,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42918_B1,Shirasawa SM,02/07/2017,Summer,B1,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42918_B2,Shirasawa SM,02/07/2017,Summer,B2,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42918_B3,Shirasawa SM,02/07/2017,Summer,B3,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42918_B4,Shirasawa SM,02/07/2017,Summer,B4,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42918_B5,Shirasawa SM,02/07/2017,Summer,B5,Snowmelt,Intermittent,8.37,4.2,13.8
Shirasawa SM_42957_B1,Shirasawa SM,10/08/2017,Summer,B1,Snowmelt,Intermittent,8.37,4.2,13.8
