Site,Date,Month,Regime,Dry_weight_mg
Tokusawa,18/10/2017,October,Snowmelt,7.1
Tokusawa,18/10/2017,October,Snowmelt,11.4
Tokusawa,18/10/2017,October,Snowmelt,12.2
Dakesawa,18/10/2017,October,Snowmelt,9.1
Dakesawa,18/10/2017,October,Snowmelt,3.9
Dakesawa,18/10/2017,October,Snowmelt,8.7
Bentenzawa,18/10/2017,October,Groundwater,14.5
Bentenzawa,18/10/2017,October,Groundwater,18.9
Bentenzawa,18/10/2017,October,Groundwater,11.8
Shirasawa,18/10/2017,October,Snowmelt,8.1
Shirasawa,18/10/2017,October,Snowmelt,1.7
Shirasawa,18/10/2017,October,Snowmelt,1.8
Shimizugawa,18/10/2017,October,Groundwater,0.3
Shimizugawa,18/10/2017,October,Groundwater,1.6
Shimizugawa,18/10/2017,October,Groundwater,2.7
Minamisawa,18/10/2017,October,Groundwater,0.8
Minamisawa,18/10/2017,October,Groundwater,2.7
Minamisawa,18/10/2017,October,Groundwater,2.2
Shirasawa,25/08/2017,August,Snowmelt,42.1
Shirasawa,25/08/2017,August,Snowmelt,49.7
Shirasawa,25/08/2017,August,Snowmelt,32.4
Bentenzawa,25/08/2017,August,Groundwater,35.5
Bentenzawa,25/08/2017,August,Groundwater,11.5
Bentenzawa,25/08/2017,August,Groundwater,14.8
Dakesawa,10/08/2017,August,Snowmelt,4.3
Dakesawa,10/08/2017,August,Snowmelt,3
Dakesawa,10/08/2017,August,Snowmelt,6.6
Shimizugawa,25/08/2017,August,Groundwater,2.9
Shimizugawa,25/08/2017,August,Groundwater,9
Shimizugawa,25/08/2017,August,Groundwater,5.3
Tokusawa,10/08/2017,August,Snowmelt,1.5
Tokusawa,10/08/2017,August,Snowmelt,0.4
Tokusawa,10/08/2017,August,Snowmelt,0.3
Minamisawa,25/08/2017,August,Groundwater,1.5
Minamisawa,25/08/2017,August,Groundwater,0.8
Minamisawa,25/08/2017,August,Groundwater,5.8
Shirasawa,02/07/2017,July,Snowmelt,24.3
Shirasawa,02/07/2017,July,Snowmelt,8.8
Shirasawa,02/07/2017,July,Snowmelt,6.7
Tokusawa,02/07/2017,July,Snowmelt,1.9
Tokusawa,02/07/2017,July,Snowmelt,0.4
Tokusawa,02/07/2017,July,Snowmelt,1.5
Bentenzawa,02/07/2017,July,Groundwater,7.4
Bentenzawa,02/07/2017,July,Groundwater,4.1
Bentenzawa,02/07/2017,July,Groundwater,2.4
Dakesawa,02/07/2017,July,Snowmelt,7.3
Dakesawa,02/07/2017,July,Snowmelt,6.2
Dakesawa,02/07/2017,July,Snowmelt,5.8
Minamisawa,02/07/2017,July,Groundwater,0.8
Minamisawa,02/07/2017,July,Groundwater,1.7
Minamisawa,02/07/2017,July,Groundwater,1.6
Shimizugawa,02/07/2017,July,Groundwater,3.4
Shimizugawa,02/07/2017,July,Groundwater,0.7
Shimizugawa,02/07/2017,July,Groundwater,4.6
