Taxon,Body_size_min,Body_size_max,Body_form_cylindrical,Body_form_cylindrical-net,Body_form_cylindrical-case,Body_form_flat-sucker,Body_form_flat-roundback,Generations_uni,Generations_multi,Feeding_group_browser,Feeding_group_scraper,Feeding_group_predator,Feeding_group_filterer,Feeding_group_collector,Feeding_group_shredder,Aerial_dispersal_ability_weak,Aerial_dispersal_ability_moderate,Aerial_dispersal_ability_high,Attachment_mode_swimmer,Attachment_mode_glider,Attachment_mode_crawler,Attachment_mode_net,Attachment_mode_case,Attachment_mode_interstitial,Pupation_none,Pupation_gravel,Pupation_cobble,Pupation_mud,Flow_type_slow,Flow_type_medium,Flow_type_fast,Flow_type_sidepool,Flow_type_bedrock,Habitat_affinity_vegetation,Habitat_affinity_cobble,Habitat_affinity_mud,Habitat_affinity_fine-sediment,Habitat_affinity_gravel,Habitat_affinity_interstitial
Baetis_thermis,6,8,5,0,0,0,0,0,1,3,1,0,0,1,1,1,0,0,6,0,0,0,0,0,4,0,0,0,4,0,0,0,1,2,2,0,0,0,0
Baetiella_japonica,5,7,5,0,0,0,0,0,1,3,1,0,0,1,1,1,0,0,6,0,0,0,0,0,4,0,0,0,5,0,0,0,0,2,2,0,0,0,0
Baetis_bicaudatus,6,9,5,0,0,0,0,0,1,3,1,0,0,1,1,1,0,0,6,0,0,0,0,0,4,0,0,0,5,0,0,0,0,2,2,0,0,0,0
Ameletus_costalis,10,15,5,0,0,0,0,1,0,3,1,0,0,1,1,0,1,0,6,0,0,0,0,0,4,0,0,0,5,0,0,0,0,0,2,0,0,2,0
Cinygmula_sp,6,8,0,0,0,4,1,1,0,0,5,0,0,0,0,1,0,0,2,4,0,0,0,0,4,0,0,0,0,1,4,0,0,0,2,0,0,2,0
Drunella_trispina,15,20,0,0,0,1,4,1,0,0,0,5,0,0,0,0,1,0,2,4,0,0,0,0,4,0,0,0,0,1,4,0,0,0,2,0,0,2,0
Drunella_basilis,18,22,0,0,0,1,4,1,0,0,0,5,0,0,0,0,1,0,2,4,0,0,0,0,4,0,0,0,0,1,4,0,0,0,2,0,0,2,0
Drunella_sacharinensis,7,11,0,0,0,1,4,1,0,0,0,5,0,0,0,0,1,0,2,4,0,0,0,0,4,0,0,0,0,1,4,0,0,0,2,0,0,2,0
Epeorus_sp,8,10,0,0,0,4,1,1,0,0,5,0,0,0,0,1,0,0,2,4,0,0,0,0,4,0,0,0,0,0,5,0,0,0,2,0,0,2,0
Paraleptophlebia_westoni,6,9,5,0,0,0,0,1,0,3,1,0,0,1,1,1,0,0,6,0,0,0,0,0,4,0,0,0,2,2,0,1,0,2,2,0,0,0,0
Seratella_sp,5,8,5,0,0,0,0,1,0,3,1,0,0,1,1,1,0,0,0,1,5,0,0,0,4,0,0,0,4,0,0,1,0,2,2,0,0,0,0
Amphinemura_sp,6,8,5,0,0,0,0,1,0,1,0,0,0,0,5,1,0,0,4,0,1,0,0,1,4,0,0,0,5,0,0,0,0,1,1,1,1,0,0
Nemoura_sp,6,8,5,0,0,0,0,1,0,1,0,0,0,0,5,1,0,0,4,0,1,0,0,1,4,0,0,0,5,0,0,0,0,1,1,1,1,0,0
Protonemura_sp,6,8,5,0,0,0,0,1,0,1,0,0,0,0,5,1,0,0,4,0,1,0,0,1,4,0,0,0,5,0,0,0,0,1,1,1,1,0,0
Eucapnopsis_sp,8,10,5,0,0,0,0,1,0,1,0,3,0,1,1,1,0,0,4,0,1,0,0,1,4,0,0,0,5,0,0,0,0,0,0,0,0,0,5
Sweltsa_sp,8,10,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,1,0,0,1,4,0,0,0,5,0,0,0,0,0,2,0,0,2,0
Suwallia_sp,6,8,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,1,0,0,1,4,0,0,0,5,0,0,0,0,0,2,0,0,2,0
Isoperla_sp,10,14,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,1,0,0,1,4,0,0,0,5,0,0,0,0,0,2,0,0,2,0
Perlodes_sp,10,25,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,1,0,0,1,4,0,0,0,0,2,3,0,0,0,2,0,0,2,0
Neoperla_sp,9,16,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,1,0,0,1,4,0,0,0,0,1,4,0,0,0,2,0,0,2,0
Megarcys_ochtacea,16,26,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,1,0,0,1,4,0,0,0,0,1,4,0,0,0,2,0,0,2,0
Yoraperla_uenoi,8,10,0,0,0,1,4,1,0,0,0,5,0,0,0,1,0,0,4,0,1,0,0,1,4,0,0,0,0,0,4,0,1,0,2,0,0,2,0
Kamimuria_sp,16,26,5,0,0,0,0,1,0,0,0,5,0,0,0,0,1,0,4,0,1,0,0,1,4,0,0,0,0,1,4,0,0,0,2,0,0,2,0
