Date,Precipitation_mm_day
2017/4/1,1.0
2017/4/2,0.0
2017/4/3,9.6
2017/4/4,1.2
2017/4/5,0.0
2017/4/6,6.2
2017/4/7,24.0
2017/4/8,6.4
2017/4/9,4.8
2017/4/10,0.0
2017/4/11,41.0
2017/4/12,0.6
2017/4/13,0.0
2017/4/14,0.0
2017/4/15,11.8
2017/4/16,0.0
2017/4/17,30.4
2017/4/18,9.4
2017/4/19,14.0
2017/4/20,0.0
2017/4/21,0.0
2017/4/22,0.0
2017/4/23,0.0
2017/4/24,0.0
2017/4/25,0.0
2017/4/26,29.6
2017/4/27,0.4
2017/4/28,0.0
2017/4/29,1.6
2017/4/30,0.0
2017/5/1,12.8
2017/5/2,0.0
2017/5/3,0.0
2017/5/4,0.0
2017/5/5,0.0
2017/5/6,16.2
2017/5/7,0.0
2017/5/8,0.0
2017/5/9,6.4
2017/5/10,16.2
2017/5/11,11.6
2017/5/12,5.8
2017/5/13,20.8
2017/5/14,0.2
2017/5/15,2.8
2017/5/16,0.0
2017/5/17,3.2
2017/5/18,0.0
2017/5/19,0.0
2017/5/20,0.0
2017/5/21,0.0
2017/5/22,18.8
2017/5/23,0.0
2017/5/24,3.8
2017/5/25,12.8
2017/5/26,7.0
2017/5/27,0.0
2017/5/28,0.0
2017/5/29,0.0
2017/5/30,0.0
2017/5/31,2.8
2017/6/1,4.2
2017/6/2,20.0
2017/6/3,0.0
2017/6/4,0.0
2017/6/5,0.0
2017/6/6,0.0
2017/6/7,2.6
2017/6/8,4.4
2017/6/9,0.0
2017/6/10,17.6
2017/6/11,0.0
2017/6/12,0.0
2017/6/13,0.0
2017/6/14,0.0
2017/6/15,0.0
2017/6/16,0.0
2017/6/17,0.0
2017/6/18,0.0
2017/6/19,0.0
2017/6/20,0.0
2017/6/21,50.8
2017/6/22,0.0
2017/6/23,0.0
2017/6/24,0.0
2017/6/25,6.4
2017/6/26,0.0
2017/6/27,0.0
2017/6/28,0.0
2017/6/29,0.2
2017/6/30,31.4
2017/7/1,128.0
2017/7/2,44.4
2017/7/3,22.2
2017/7/4,160.0
2017/7/5,2.6
2017/7/6,0.0
2017/7/7,0.0
2017/7/8,0.0
2017/7/9,0.0
2017/7/10,0.0
2017/7/11,0.0
2017/7/12,0.0
2017/7/13,19.6
2017/7/14,0.0
2017/7/15,0.0
2017/7/16,9.2
2017/7/17,9.8
2017/7/18,3.0
2017/7/19,0.0
2017/7/20,0.0
2017/7/21,0.0
2017/7/22,1.4
2017/7/23,17.6
2017/7/24,12.6
2017/7/25,8.8
2017/7/26,6.6
2017/7/27,8.6
2017/7/28,4.0
2017/7/29,0.0
2017/7/30,1.2
2017/7/31,0.0
2017/8/1,0.0
2017/8/2,1.6
2017/8/3,0.0
2017/8/4,0.0
2017/8/5,1.8
2017/8/6,0.4
2017/8/7,17.6
2017/8/8,135.0
2017/8/9,6.6
2017/8/10,0.0
2017/8/11,0.0
2017/8/12,0.0
2017/8/13,0.0
2017/8/14,0.2
2017/8/15,5.6
2017/8/16,9.2
2017/8/17,0.2
2017/8/18,16.2
2017/8/19,0.8
2017/8/20,0.0
2017/8/21,0.0
2017/8/22,8.2
2017/8/23,3.0
2017/8/24,4.0
2017/8/25,22.0
2017/8/26,10.6
2017/8/27,0.0
2017/8/28,0.0
2017/8/29,0.2
2017/8/30,14.6
2017/8/31,0.0
2017/9/1,0.0
2017/9/2,0.0
2017/9/3,0.0
2017/9/4,0.0
2017/9/5,3.6
2017/9/6,34.0
2017/9/7,77.0
2017/9/8,1.6
2017/9/9,0.0
2017/9/10,0.0
2017/9/11,8.0
2017/9/12,35.0
2017/9/13,1.0
2017/9/14,0.0
2017/9/15,0.0
2017/9/16,4.4
2017/9/17,14.8
2017/9/18,26.6
2017/9/19,0.0
2017/9/20,1.2
2017/9/21,0.2
2017/9/22,0.0
2017/9/23,3.8
2017/9/24,0.0
2017/9/25,0.0
2017/9/26,0.0
2017/9/27,16.6
2017/9/28,21.6
2017/9/29,0.0
2017/9/30,0.0
2017/10/1,0.0
2017/10/2,9.6
2017/10/3,1.8
2017/10/4,0.0
2017/10/5,0.0
2017/10/6,25.8
2017/10/7,7.2
2017/10/8,0.0
2017/10/9,0.0
2017/10/10,0.0
2017/10/11,0.0
2017/10/12,6.5
2017/10/13,24.0
2017/10/14,1.5
2017/10/15,13.0
2017/10/16,38.5
2017/10/17,4.5
2017/10/18,0.0
2017/10/19,20.5
2017/10/20,2.0
2017/10/21,1.0
2017/10/22,82.5
2017/10/23,33.5
2017/10/24,0.5
2017/10/25,28.0
2017/10/26,0.0
2017/10/27,0.0
2017/10/28,10.0
2017/10/29,60.5
2017/10/30,11.0
2017/10/31,0.0
2017/11/1,0.0
2017/11/2,0.0
2017/11/3,0.0
2017/11/4,10.0
2017/11/5,0.0
2017/11/6,0.0
2017/11/7,0.0
2017/11/8,28.5
2017/11/9,2.5
2017/11/10,0.0
2017/11/11,40.5
2017/11/12,0.0
2017/11/13,0.0
2017/11/14,30.5
2017/11/15,12.0
2017/11/16,4.5
2017/11/17,0.0
2017/11/18,17.0
2017/11/19,1.0
2017/11/20,7.0
2017/11/21,0.5
2017/11/22,4.0
2017/11/23,19.0
2017/11/24,6.5
2017/11/25,6.5
2017/11/26,9.5
2017/11/27,0.0
2017/11/28,0.0
2017/11/29,8.6
2017/11/30,1.6
2017/12/1,0.8
2017/12/2,0.2
2017/12/3,0.0
2017/12/4,1.2
2017/12/5,4.0
2017/12/6,1.4
2017/12/7,0.0
2017/12/8,2.0
2017/12/9,0.0
2017/12/10,0.2
2017/12/11,3.2
2017/12/12,0.2
2017/12/13,0.0
2017/12/14,0.2
2017/12/15,0.0
2017/12/16,2.4
2017/12/17,0.8
2017/12/18,0.0
2017/12/19,0.6
2017/12/20,0.0
2017/12/21,0.0
2017/12/22,0.0
2017/12/23,0.8
2017/12/24,3.8
2017/12/25,9.6
2017/12/26,0.4
2017/12/27,0.0
2017/12/28,1.4
2017/12/29,0.6
2017/12/30,0.2
2017/12/31,2.0
2018/1/1,0.2
2018/1/2,0.2
2018/1/3,1.4
2018/1/4,0.0
2018/1/5,0.0
2018/1/6,0.4
2018/1/7,0.0
2018/1/8,30.0
2018/1/9,33.0
2018/1/10,0.8
2018/1/11,0.8
2018/1/12,0.6
2018/1/13,1.2
2018/1/14,0.0
2018/1/15,0.8
2018/1/16,0.4
2018/1/17,41.0
2018/1/18,0.0
2018/1/19,0.0
2018/1/20,0.0
2018/1/21,0.0
2018/1/22,16.4
2018/1/23,0.4
2018/1/24,0.0
2018/1/25,0.0
2018/1/26,0.0
2018/1/27,0.4
2018/1/28,0.2
2018/1/29,0.0
2018/1/30,0.0
2018/1/31,0.0
2018/2/1,0.4
2018/2/2,1.2
2018/2/3,0.0
2018/2/4,2.4
2018/2/5,0.4
2018/2/6,0.6
2018/2/7,0.6
2018/2/8,0.0
2018/2/9,0.0
2018/2/10,3.0
2018/2/11,1.4
2018/2/12,0.0
2018/2/13,0.2
2018/2/14,0.2
2018/2/15,6.8
2018/2/16,0.0
2018/2/17,0.4
2018/2/18,0.0
2018/2/19,0.0
2018/2/20,0.0
2018/2/21,0.0
2018/2/22,0.0
2018/2/23,0.0
2018/2/24,0.4
2018/2/25,0.0
2018/2/26,0.0
2018/2/27,0.0
2018/2/28,0.0
2018/3/1,34.0
2018/3/2,0.4
2018/3/3,0.0
2018/3/4,0.0
2018/3/5,44.8
2018/3/6,0.0
2018/3/7,0.0
2018/3/8,60.0
2018/3/9,19.6
2018/3/10,0.0
2018/3/11,0.0
2018/3/12,0.0
2018/3/13,0.0
2018/3/14,0.0
2018/3/15,4.0
2018/3/16,33.0
2018/3/17,0.0
2018/3/18,0.0
2018/3/19,14.8
2018/3/20,8.6
2018/3/21,9.4
2018/3/22,16.0
2018/3/23,0.0
2018/3/24,0.0
2018/3/25,0.0
2018/3/26,0.0
2018/3/27,0.0
2018/3/28,0.0
2018/3/29,0.0
2018/3/30,0.0
2018/3/31,0.0
2018/4/1,0.0
2018/4/2,0.0
2018/4/3,0.0
2018/4/4,9.2
2018/4/5,0.0
